size, size_squared, iter
10, 100, 45
20, 400, 190
30, 900, 435
40, 1600, 780
50, 2500, 1225
60, 3600, 1770
70, 4900, 2415
80, 6400, 3160
90, 8100, 4005
100, 10000, 4950
110, 12100, 5995
120, 14400, 7140
130, 16900, 8385
140, 19600, 9730
150, 22500, 11175
160, 25600, 12720
170, 28900, 14365
180, 32400, 16110
190, 36100, 17955
200, 40000, 19900
210, 44100, 21945
220, 48400, 24090
230, 52900, 26335
240, 57600, 28680
250, 62500, 31125
260, 67600, 33670
270, 72900, 36315
280, 78400, 39060
290, 84100, 41905
300, 90000, 44850
310, 96100, 47895
320, 102400, 51040
330, 108900, 54285
340, 115600, 57630
350, 122500, 61075
360, 129600, 64620
370, 136900, 68265
380, 144400, 72010
390, 152100, 75855
400, 160000, 79800
410, 168100, 83845
420, 176400, 87990
430, 184900, 92235
440, 193600, 96580
450, 202500, 101025
460, 211600, 105570
470, 220900, 110215
480, 230400, 114960
490, 240100, 119805
500, 250000, 124750
510, 260100, 129795
520, 270400, 134940
530, 280900, 140185
540, 291600, 145530
550, 302500, 150975
560, 313600, 156520
570, 324900, 162165
580, 336400, 167910
590, 348100, 173755
600, 360000, 179700
610, 372100, 185745
620, 384400, 191890
630, 396900, 198135
640, 409600, 204480
650, 422500, 210925
660, 435600, 217470
670, 448900, 224115
680, 462400, 230860
690, 476100, 237705
700, 490000, 244650
710, 504100, 251695
720, 518400, 258840
730, 532900, 266085
740, 547600, 273430
750, 562500, 280875
760, 577600, 288420
770, 592900, 296065
780, 608400, 303810
790, 624100, 311655
800, 640000, 319600
810, 656100, 327645
820, 672400, 335790
830, 688900, 344035
840, 705600, 352380
850, 722500, 360825
860, 739600, 369370
870, 756900, 378015
880, 774400, 386760
890, 792100, 395605
900, 810000, 404550
910, 828100, 413595
920, 846400, 422740
930, 864900, 431985
940, 883600, 441330
950, 902500, 450775
960, 921600, 460320
970, 940900, 469965
980, 960400, 479710
990, 980100, 489555
1000, 1000000, 499500
